file,location,lng,lat,isInLine,action
65_吴中复.json,浣花溪,104.02771,30.655979,FALSE,remove
12_李白.json,黄鹤楼,114.302467,30.544573,FALSE,remove
138_刘过.json,黄鹤楼,114.302467,30.544573,FALSE,remove
142_戴复古.json,黄鹤楼,114.302467,30.544573,FALSE,remove
77_苏轼.json,黄楼,117.768858,34.52682,FALSE,remove
64_苏洵.json,惠泉,112.183448,31.011981,FALSE,remove
77_苏轼.json,惠泉,112.183448,31.011981,FALSE,remove
79_苏辙.json,惠泉,112.183448,31.011981,FALSE,remove
124_杨万里.json,惠山,120.24168,31.577558,FALSE,remove
138_刘过.json,惠山,120.24168,31.577558,FALSE,remove
149_吴文英.json,惠山,120.24168,31.577558,FALSE,remove
77_苏轼.json,惠山,120.24168,31.577558,FALSE,remove
85_秦观.json,惠山,120.24168,31.577558,FALSE,remove
108_张元干.json,惠山寺,120.270346,31.579881,FALSE,remove
6_宋之问.json,荐福寺,108.942349,34.240891,FALSE,remove
29_李德裕.json,剑门关,105.563927,32.218765,FALSE,remove
61_张方平.json,剑门关,105.563927,32.218765,FALSE,remove
63_赵抃.json,剑门关,105.563927,32.218765,FALSE,remove
13_杜甫.json,鉴湖,120.581221,29.979184,FALSE,remove
62_欧阳修.json,绛守居园池,111.217679,35.613882,FALSE,remove
148_吴潜.json,焦山,119.484567,32.240685,FALSE,remove
77_苏轼.json,焦山,119.484567,32.240685,FALSE,remove
87_贺铸.json,焦山,119.484567,32.240685,FALSE,remove
92_惠洪.json,焦山,119.484567,32.240685,FALSE,remove
77_苏轼.json,金明池,114.30115,34.799587,FALSE,remove
124_杨万里.json,金山,119.416096,32.219303,FALSE,remove
79_苏辙.json,金山,119.416096,32.219303,FALSE,remove
88_晁补之.json,金山,119.416096,32.219303,FALSE,remove
126_张孝祥.json,金山寺,119.416096,32.219303,FALSE,remove
62_欧阳修.json,金山寺,119.416096,32.219303,FALSE,remove
77_苏轼.json,金山寺,119.416096,32.219303,FALSE,remove
85_秦观.json,金山寺,119.416096,32.219303,FALSE,remove
77_苏轼.json,金线泉,117.016406,36.66119,FALSE,remove
39_贯休.json,缙云山,106.397529,29.836926,FALSE,remove
9_王昌龄.json,京岘山,119.488406,32.200165,FALSE,remove
40_罗隐.json,泾溪,118.23435,30.594659,FALSE,remove
12_李白.json,荆门山,111.397452,30.543948,FALSE,remove
77_苏轼.json,径山,119.79489,30.415377,FALSE,remove
121_尤袤.json,径山寺,119.764993,30.379661,FALSE,remove
121_尤袤.json,净慈寺,120.148716,30.229386,FALSE,remove
77_苏轼.json,净慈寺,120.148716,30.229386,FALSE,remove
92_惠洪.json,净慈寺,120.148716,30.229386,FALSE,remove
12_李白.json,敬亭山,118.738977,30.992335,FALSE,remove
31_李贺.json,镜湖,120.479547,30.043503,FALSE,remove
39_贯休.json,镜湖,120.479547,30.043503,FALSE,remove
6_宋之问.json,镜湖,120.479547,30.043503,FALSE,remove
8_孟浩然.json,镜湖,120.479547,30.043503,FALSE,remove
92_惠洪.json,九峰山,114.678151,28.156544,FALSE,remove
39_贯休.json,九华山,117.804242,30.481027,FALSE,remove
40_罗隐.json,九华山,117.804242,30.481027,FALSE,remove
44_杜荀鹤.json,九华山,117.804242,30.481027,FALSE,remove
47_徐铉.json,九华山,117.804242,30.481027,FALSE,remove
79_苏辙.json,九华山,117.804242,30.481027,FALSE,remove
80_孔武仲.json,九华山,117.804242,30.481027,FALSE,remove
12_李白.json,九疑山,111.981468,25.352448,FALSE,remove
22_韩愈.json,九嶷山,112.084114,25.332674,FALSE,remove
77_苏轼.json,峻灵王庙,108.690936,19.315137,FALSE,remove
124_杨万里.json,快阁,114.90703,26.78799,FALSE,remove
49_王禹偁.json,琅琊山,118.28551,32.296514,FALSE,remove
62_欧阳修.json,琅琊山,118.28551,32.296514,FALSE,remove
136_辛弃疾.json,冷泉亭,120.102102,30.239756,FALSE,remove
12_李白.json,骊山,109.213009,34.3715,FALSE,remove
77_苏轼.json,骊山,109.213009,34.3715,FALSE,remove
77_苏轼.json,廉泉,114.924653,25.856973,FALSE,remove
9_王昌龄.json,梁园,115.613472,34.444306,FALSE,remove
124_杨万里.json,灵山,118.5971,28.64214,FALSE,remove
136_辛弃疾.json,灵山,117.844319,28.544092,FALSE,remove
88_晁补之.json,灵山,117.844319,28.544092,FALSE,remove
19_孟郊.json,灵岩山,120.505432,31.257767,FALSE,remove
148_吴潜.json,灵岩寺,120.501451,31.262541,FALSE,remove
27_贾岛.json,灵隐寺,120.102135,30.239935,FALSE,remove
52_林逋.json,灵隐寺,120.102135,30.239935,FALSE,remove
77_苏轼.json,灵隐寺,120.102135,30.239935,FALSE,remove
92_惠洪.json,灵隐寺,120.102135,30.239935,FALSE,remove
77_苏轼.json,玲珑山,119.683694,30.217007,FALSE,remove
15_岑参.json,凌云寺,103.772025,29.544458,FALSE,remove
77_苏轼.json,龙井,120.143485,30.293944,FALSE,remove
6_宋之问.json,龙门山,112.473051,34.558266,FALSE,remove
7_沈佺期.json,龙门峡,108.315049,29.126775,FALSE,remove
127_张栻.json,龙山,112.099055,30.586726,FALSE,remove
77_苏轼.json,龙山,119.83616,29.981519,FALSE,remove
131_王质.json,隆中,112.033639,31.989805,FALSE,remove
1_王绩.json,庐山,115.982796,29.554957,FALSE,remove
108_张元干.json,庐山,115.982796,29.554957,FALSE,remove
109_邓肃.json,庐山,115.982796,29.554957,FALSE,remove
11_王维.json,庐山,115.982796,29.554957,FALSE,remove
110_王铚.json,庐山,115.982796,29.554957,FALSE,remove
12_李白.json,庐山,115.982796,29.554957,FALSE,remove
121_尤袤.json,庐山,115.982796,29.554957,FALSE,remove
124_杨万里.json,庐山,115.982796,29.554957,FALSE,remove
126_张孝祥.json,庐山,115.982796,29.554957,FALSE,remove
131_王质.json,庐山,115.982796,29.554957,FALSE,remove
142_戴复古.json,庐山,115.982796,29.554957,FALSE,remove
24_周贺.json,庐山,115.982796,29.554957,FALSE,remove
39_贯休.json,庐山,115.982796,29.554957,FALSE,remove
44_杜荀鹤.json,庐山,115.982796,29.554957,FALSE,remove
45_郑谷.json,庐山,115.982796,29.554957,FALSE,remove
64_苏洵.json,庐山,115.982796,29.554957,FALSE,remove
77_苏轼.json,庐山,115.982796,29.554957,FALSE,remove
79_苏辙.json,庐山,115.982796,29.554957,FALSE,remove
8_孟浩然.json,庐山,115.982796,29.554957,FALSE,remove
82_黄庭坚.json,庐山,115.982796,29.554957,FALSE,remove
85_秦观.json,庐山,115.982796,29.554957,FALSE,remove
88_晁补之.json,庐山,115.982796,29.554957,FALSE,remove
92_惠洪.json,庐山,115.982796,29.554957,FALSE,remove
77_苏轼.json,庐山瀑布,115.982796,29.554946,FALSE,remove
41_皮日休.json,鹿门山,112.267351,31.92706,FALSE,remove
8_孟浩然.json,鹿门山,112.267351,31.92706,FALSE,remove
79_苏辙.json,罗浮山,114.065694,23.259835,FALSE,remove
18_韦应物.json,马嵬驿,108.38286,34.327656,FALSE,remove
121_尤袤.json,茅山,119.315951,31.795114,FALSE,remove
91_范寥.json,茅山,119.315951,31.795114,FALSE,remove
19_孟郊.json,汨罗江,113.177501,28.788546,FALSE,remove
22_韩愈.json,汨罗江,113.177501,28.788546,FALSE,remove
23_柳宗元.json,汨罗江,113.177501,28.788546,FALSE,remove
124_杨万里.json,庙山,120.0801,30.165809,FALSE,remove
40_罗隐.json,南湖,120.808319,31.630144,FALSE,remove
154_文天祥.json,南华寺,113.639217,24.646057,FALSE,remove
39_贯休.json,南华寺,113.639217,24.646057,FALSE,remove
